time,left_force_x,left_force_y,left_force_z,left_torque_x,left_torque_y,left_torque_z,right_force_x,right_force_y,right_force_z,right_torque_x,right_torque_y,right_torque_z
0,-31.09290695,1.23384666,375.9524231,-35.54831696,-6.80325317,-2.51956582,30.29769325,-2.96792722,381.1434021,-31.82518768,47.17465973,2.94732308
0.01,-31.22974396,1.40533161,375.88140869,-35.55086517,-7.00141907,-2.87708282,30.41352272,-2.74872804,380.52996826,-31.72967911,47.27471924,3.37295032
0.02,-29.44143677,0.17976356,376.62005615,-35.45452499,-6.90215302,-2.54869604,30.30290794,-1.54516625,380.54663086,-31.72967911,47.27471924,3.13510084
0.03,-30.83211327,1.88141799,376.93145752,-35.54945755,-6.8035965,-3.16960168,30.80654716,-2.53141427,381.03671265,-31.63358688,47.37384796,3.2101109
0.04,-31.45582962,1.33866239,376.43438721,-35.45452499,-6.90215302,-2.64240909,30.79879379,-1.83062291,380.63531494,-31.72967911,47.27471924,3.01165986
0.05,-30.81880188,1.94384146,376.37677002,-35.45452499,-6.90215302,-2.83950734,31.03473473,-3.26582837,380.67169189,-31.53966141,47.27626038,3.02119064
0.06,-30.83338547,1.56945372,376.37924194,-35.45452499,-6.90215302,-2.67763209,30.31733704,-2.28218389,380.5513916,-31.72967911,47.27471924,2.80549288
0.07,-30.19694519,2.05988431,376.49673462,-35.45452499,-6.90215302,-2.6423521,30.57481003,-2.34080911,381.56097412,-31.72909927,47.27378464,3.17336488
0.08,-29.93460846,1.39211988,376.57131958,-35.45452499,-6.90215302,-3.2042439,30.05099106,-3.12752843,381.04760742,-31.82518768,47.17465973,2.84614396
0.09,-31.19830704,3.09136915,376.3817749,-35.6415596,-6.9014473,-2.8350842,30.26262474,-3.22088552,380.10253906,-31.82349396,47.37424469,3.14199042
0.09999999,-30.97812653,1.53607965,376.52902222,-35.45452499,-6.90215302,-2.97758317,30.52842522,-2.16227508,380.08215332,-31.82349396,47.37424469,3.57039857
0.11,-31.49214935,0.72242212,376.47943115,-35.45452499,-6.90215302,-2.82285929,30.72406578,-1.90834069,381.06762695,-31.63358688,47.37384796,3.01384997
0.12,-29.81281853,0.70600533,377.01092529,-35.54945755,-6.8035965,-2.71533632,30.8103199,-3.57107425,381.13565063,-31.82360458,47.37231445,3.048985
0.13,-30.48022842,2.05910182,376.48297119,-35.45452499,-6.90215302,-2.51507187,30.54676437,-2.87275052,380.47344971,-31.72967911,47.27471924,3.10835719
0.14,-30.20928574,1.02989364,376.60601807,-35.45452499,-6.90215302,-3.04330039,30.43884087,-2.50276589,381.57501221,-31.91911316,47.27225113,2.84621739
0.14999999,-31.74423218,2.14334679,376.03216553,-35.36128235,-6.80395889,-3.14452267,30.6541729,-1.95652413,380.66577148,-31.72967911,47.27471924,2.94470954
0.16,-30.97689056,1.31262684,375.4432373,-35.26634979,-6.90251541,-2.71761322,30.45480156,-2.8603394,380.4864502,-31.72967911,47.27471924,2.94232297
0.17,-30.72361755,0.65856171,376.05194092,-35.36128235,-6.80395889,-2.95075369,29.91469002,-2.52877784,380.54586792,-31.72967911,47.27471924,2.84849715
0.17999999,-30.96751022,0.7733314,375.42950439,-35.26634979,-6.90251541,-3.17882347,30.28775024,-3.97332311,380.56390381,-31.53966141,47.27626038,2.95666623
